,experiment_id,mouse_id,treatment_id,replica_id,intensity_mean_nuclei,area_nuclei,intensity_mean_cyto,area_cyto,nuclei_cyto_ratio
76,RY20240612,4543,BCM_60min,3,17.63676922624656,236.80226904376013,19.36204589700486,630.3257698541329,0.9473439319310343
77,RY20240613,4543,BCM_60min,4,33.11585143088421,265.54212454212455,29.82652753913577,635.8974358974359,1.1288861499827223
78,RY20240613,4543,BCM_60min,5,21.99812466239194,244.92100192678228,22.096967132234504,650.6319845857419,1.0401699537114029
79,RY20240613,4543,BCM_60min,6,17.219230334913842,231.2460815047022,16.90252386916394,613.8542319749216,0.9846675178579701
80,RY20240613,4543,MSN_60min,1,33.01061049953148,288.4864457831325,27.4214108756979,776.2680722891566,1.2323629071253244
81,RY20240613,4543,MSN_60min,2,27.82727958069619,277.0933125972006,20.624780107503916,679.0,1.4104158679689878
82,RY20240613,4543,MSN_60min,3,14.60923858982416,242.74337517433753,12.538669562551766,637.4156206415621,1.1406405723173998
83,RY20240613,4543,MSN_60min,4,11.551014370254174,221.01732283464568,10.337264523913307,617.8944881889764,1.0794765476026127
84,RY20240613,4543,MSN_60min,5,19.739089386345125,229.51904243743198,17.388103375270134,622.3492927094668,1.154180062687466
85,RY20240613,4543,MSN_60min,6,30.337423512009448,271.9625748502994,22.388780567281973,693.4206586826348,1.3431207666867861
86,RY20240614,4543,PGE2_60min,1,30.562888714167503,240.98159509202455,29.31234329763532,694.0457334076966,1.012539752754263
87,RY20240614,4543,PGE2_60min,2,25.06264905905553,266.3203378817414,21.5441714242885,745.9067576348278,1.1646836923012036
88,RY20240614,4543,PGE2_60min,3,26.96153569133438,264.921514312096,18.091280846700883,616.8291782086797,1.552776521381676
89,RY20240614,4543,PGE2_60min,4,33.93537596446095,258.8590909090909,26.843536040186883,621.2515151515152,1.2823125989031798
90,RY20240614,4543,PGE2_60min,5,50.88707120738238,283.51696284329563,36.14876691590218,773.2374798061389,1.4167578903494507
91,RY20240614,4543,dmPGE2_60min,1,51.16655038243172,288.61208053691274,35.81277702262738,712.7906040268456,1.4687060329707458
92,RY20240614,4543,dmPGE2_60min,2,43.11465106349365,301.48039215686276,29.528893198343177,712.5980392156863,1.4933406501207147
93,RY20240614,4543,dmPGE2_60min,3,37.93538955149466,259.9640804597701,27.4549961980732,623.7902298850574,1.3980983778601725
94,RY20240614,4543,dmPGE2_60min,4,41.330403578556805,285.63861386138615,29.455556097793895,711.4059405940594,1.4204737363893971
95,RY20240614,4543,dmPGE2_60min,5,33.45659258512074,281.26724137931035,23.466925910641923,684.2887931034483,1.4761654857982711
96,RY20240618,4544,BCM_60min,1,29.31603211760521,243.01052631578946,28.1381596094945,734.4877192982456,1.0973743246260794
97,RY20240618,4544,BCM_60min,2,31.3661596189623,226.44657534246576,28.604906296730043,553.1479452054795,1.1220067278507608
98,RY20240618,4544,BCM_60min,3,20.753459425138892,234.05610098176717,18.839383109338154,695.523141654979,1.1340931053107735
99,RY20240618,4544,BCM_60min,4,27.10773775067467,246.85664335664336,30.32952088714167,560.8793706293707,0.921691869775103
100,RY20240618,4544,BCM_60min,5,35.73268585204344,243.93103448275863,32.85779038398284,725.6551724137931,1.1133561145612156
101,RY20240618,4544,BCM_60min,6,27.953841141879956,223.49078069831307,26.12486606473874,507.64103570027464,1.0603953229605474
102,RY20240618,4544,MSN_60min,1,15.13890824982432,230.01960784313727,15.239534824724847,528.0448179271709,1.0142065629631725
103,RY20240618,4544,MSN_60min,2,30.50985837473826,266.1896162528217,27.02017634453643,615.9830699774267,1.1835025112644117
104,RY20240619,4544,MSN_60min,3,21.514037115560782,247.89285714285714,21.82617181932533,618.6277472527472,0.9578047157980348
105,RY20240619,4544,MSN_60min,4,36.4146740217655,267.92748538011693,28.88831548537427,587.672514619883,1.2744450549159019
106,RY20240619,4544,MSN_60min,5,37.76987419041783,267.2325581395349,27.42604955961538,635.5965116279069,1.4105045780309688
107,RY20240619,4544,MSN_60min,6,24.8094572449917,239.2737169517885,25.148958788225848,678.0031104199066,1.0053047727897906
108,RY20240619,4544,PGE2_60min,1,43.21498924946146,280.1517857142857,33.572071742887296,621.8035714285714,1.316114454923224
109,RY20240619,4544,PGE2_60min,2,32.546491707170475,290.1787709497207,24.159847211640752,688.6852886405959,1.3938335933615997
110,RY20240619,4544,PGE2_60min,3,31.83804373426155,264.73234624145783,27.387264999261884,659.8610478359909,1.200320408033756
111,RY20240619,4544,PGE2_60min,4,26.64453377254377,243.42523364485982,25.20860035968161,627.7570093457944,1.0583425049468873
112,RY20240619,4544,PGE2_60min,5,34.4214249963422,266.3748326639893,28.166738635525007,631.2155287817939,1.260916361481855
113,RY20240619,4544,PGE2_60min,6,23.510290605723366,274.47858319604615,18.430219704128763,661.6886326194399,1.2852467653267678
